No_Wj,Author,Title,Site,CUE,PFT,PFT,Latitude,longitude,tmp(℃),pre (mm),Substrate,Chemical formula,γs,Substrate,Substrate,Amount (ug),note,Incubation Time (day/h),Temperature(℃),Method,Other treatment,subtreatment,Soil horizon(cm),pH,C/N,CUE%,Error,Data location,Calculation method
222,,,,0.25 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
223,,,,0.25 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
224,,,,0.24 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
225,,,,0.23 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
226,,,,0.25 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
227,,,,0.45 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
228,,,,0.52 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
229,,,,0.60 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
230,,,,0.50 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
231,,,,0.46 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
232,,,,0.44 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
233,,,,0.44 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
234,,,,0.40 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
235,,,,0.46 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
236,,,,0.42 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
237,,,,0.37 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
238,,,,0.37 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
239,,,,0.34 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
240,,,,0.32 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
241,,,,0.30 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
242,,,,0.34 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
243,,,,0.24 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
244,,,,0.27 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Rotation,,5.50 ,,,,Fig5,Directly extracted
245,Lundberg,13C NMR spectroscopy studies of forest soil microbial activity: glucose uptake and fatty acid biosynthesis,"forest near the Swedish University of Agricultural Sciences, Umea, Sweden (63.8oN, 20.3oE) ",0.74 ,1,Needleleaf Forest,63.80 ,20.30 ,2.70 ,47.92 ,"glucose,",,4.00 ,glucose,glucose,0.098 M,,24h,25.00 ,Uptake-based methods,,0-24h,,4.40 ,,,,Fig7,Directly extracted
246,,,,0.60 ,1,Needleleaf Forest,63.80 ,20.30 ,2.70 ,47.92 ,,,,glucose,glucose,,,72h,25.00 ,,,24-72h,,,,,,Fig7,Directly extracted
247,Spohn,Microbial carbon use efficiency and biomass turnover times depending on soil depth e Implications for carbon cycling,"Bayreuth, Germany. 49o58'14''N, 11o37'20''E)",0.23 ,12,Croplands,49.97 ,11.62 ,8.21 ,54.17 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,Biomass-based methods/18O,,,,5.4 cacl2，6.3 H2O,,,,Fig4,Directly extracted
248,,,"Bayreuth, Germany. 49o58'14''N, 11o37'20''E)",0.40 ,12,Croplands,49.97 ,11.62 ,8.21 ,54.17 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,5.4 cacl2，6.3 H2O,,,,Fig4,Directly extracted
249,,,"Bayreuth, Germany. 49o58'14''N, 11o37'20''E)",0.22 ,12,Croplands,49.97 ,11.62 ,8.21 ,54.17 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,5.4 cacl2，6.3 H2O,,,,Fig4,Directly extracted
250,,,"Bayreuth, Germany. 49o58'14''N, 11o37'20''E)",0.08 ,12,Croplands,49.97 ,11.62 ,8.21 ,54.17 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,Biomass-based methods/18O,,,,5.4 cacl2，6.3 H2O,,,,Fig4,Directly extracted
251,,,"(49o58'32''N, 11o34'57''E)",0.28 ,3,Needleleaf Forest,49.98 ,11.58 ,7.92 ,56.33 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,2.9 cacl2，3.8 H2O,,,,Fig4,Directly extracted
252,,,"(49o58'32''N, 11o34'57''E)",0.22 ,3,Needleleaf Forest,49.98 ,11.58 ,7.92 ,56.33 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,2.9 cacl2，3.8 H2O,,,,Fig4,Directly extracted
253,,,"(49o58'32''N, 11o34'57''E)",0.25 ,3,Needleleaf Forest,49.98 ,11.58 ,7.92 ,56.33 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,Biomass-based methods/18O,,,,2.9 cacl2，3.8 H2O,,,,Fig4,Directly extracted
254,,,"(49o58'32''N, 11o34'57''E)",0.33 ,3,Needleleaf Forest,49.98 ,11.58 ,7.92 ,56.33 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,2.9 cacl2，3.8 H2O,,,,Fig4,Directly extracted
255,,,"(49o58'32''N, 11o34'57''E)",0.31 ,3,Needleleaf Forest,49.98 ,11.58 ,7.92 ,56.33 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,2.9 cacl2，3.8 H2O,,,,Fig4,Directly extracted
256,,,"(49o58'20''N, 11o35'19''E)",0.17 ,5,Mixed Forests,49.97 ,11.59 ,8.04 ,55.50 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,3.6 cacl2，4.2 H2O,,,,Fig4,Directly extracted
257,,,"(49o58'20''N, 11o35'19''E)",0.19 ,5,Mixed Forests,49.97 ,11.59 ,8.04 ,55.50 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,Biomass-based methods/18O,,,,3.6 cacl2，4.2 H2O,,,,Fig4,Directly extracted
258,,,"(49o58'20''N, 11o35'19''E)",0.21 ,5,Mixed Forests,49.97 ,11.59 ,8.04 ,55.50 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,3.6 cacl2，4.2 H2O,,,,Fig4,Directly extracted
259,,,"(49o58'20''N, 11o35'19''E)",0.21 ,5,Mixed Forests,49.97 ,11.59 ,8.04 ,55.50 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,3.6 cacl2，4.2 H2O,,,,Fig4,Directly extracted
260,,,"(49o58'20''N, 11o35'19''E)",0.20 ,5,Mixed Forests,49.97 ,11.59 ,8.04 ,55.50 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,,,,,3.6 cacl2，4.2 H2O,,,,Fig4,Directly extracted
261,Spohn,Soil microbial carbon use efficiency and biomass turnover in a long- term fertilization experiment in a temperate grassland,"Gumpenstein, Austria (49o29'37''N, 14o06'10''E)",0.31 ,10,Grasslands,49.49 ,14.10 ,7.00 ,1000.00 ,18O-H2O,,,inorganic , H2O,20.0 at% of 18O in the final soil water,,24 h,15.00 ,Biomass-based methods/18O,,CK,,5.2 H2O,,,0.06 ,Fig3,Directly extracted
262,,,,0.32 ,10,Grasslands,49.49 ,14.10 ,7.00 ,1000.00 ,,,,inorganic , H2O,,,24 h,15.00 ,,,PK,,5.70 ,,,0.04 ,Fig3,Directly extracted
263,,,,0.45 ,10,Grasslands,49.49 ,14.10 ,7.00 ,1000.00 ,,,,inorganic , H2O,,,24 h,15.00 ,,,NK,,5.10 ,,,0.05 ,Fig3,Directly extracted
264,,,,0.41 ,10,Grasslands,49.49 ,14.10 ,7.00 ,1000.00 ,,,,inorganic , H2O,,,24 h,15.00 ,,,NP,,6.00 ,,,0.05 ,Fig3,Directly extracted
265,,,,0.43 ,10,Grasslands,49.49 ,14.10 ,7.00 ,1000.00 ,,,,inorganic , H2O,,,24 h,15.00 ,,,NPK,,5.80 ,,,0.05 ,Fig3,Directly extracted
266,Sharif,Mineralization of Carbon-14-Labeled Plant Residues in Conventional Tillage and No-Till Systems  ,"Woodslee, ON, Canada (42°13' N, 82°44' W)",0.90 ,12,Croplands,42.22 ,-82.73 ,8.90 ,832.00 ,14C-labeled wheat residues,,,high-molecular compound,residue,,,86 d,25.00 ,1-CO2/Total,conventional tillage,straw surface,0~5,7.26 ,,,,Fig 3,1-data from Fig 3
267,,,,0.91 ,12,Croplands,42.22 ,-82.73 ,8.90 ,832.00 ,14C-labeled wheat residues,,,high-molecular compound,residue,,,86 d,25.00 ,,,straw incorporation,0~5,7.26 ,,,,Fig 3,1-data from Fig 3
268,,,,0.92 ,12,Croplands,42.22 ,-82.73 ,8.90 ,832.00 ,14C-labeled wheat residues,,,high-molecular compound,residue,,,86 d,25.00 ,,no tillage,straw surface,0~5,7.02 ,,,,Fig 3,1-data from Fig 3
269,,,,0.91 ,12,Croplands,42.22 ,-82.73 ,8.90 ,832.00 ,14C-labeled wheat residues,,,high-molecular compound,residue,,,86 d,25.00 ,,,straw incorporation,0~5,7.02 ,,,,Fig 3,1-data from Fig 3
270,,,,0.91 ,12,Croplands,42.22 ,-82.73 ,8.90 ,832.00 ,14C-labeled wheat residues,,,high-molecular compound,residue,,,86 d,25.00 ,,no tillage,straw surface,10~15,7.27 ,,,,Fig 3,1-data from Fig 3
271,,,,0.91 ,12,Croplands,42.22 ,-82.73 ,8.90 ,832.00 ,14C-labeled wheat residues,,,high-molecular compound,residue,,,86 d,25.00 ,,,straw incorporation,10~15,7.27 ,,,,Fig 3,1-data from Fig 3
272,Lipson,The trade-off between growth rate and yield in microbial communities and the consequences for under-snow soil respiration in a high elevation coniferous forest,"Niwot Ridge AmeriFlux site located in a subalpine forest near Nederland, Colorado (40o1'58'' N; 105o32'47'' W, 3,050 m a.s.l.)",0.50 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,CK,July,,,,,0.01 ,Fig2,Directly extracted
273,,,,0.48 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Nov,,,,,0.01 ,Fig2,Directly extracted
274,,,,0.43 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Jan,,,,,0.01 ,Fig2,Directly extracted
275,,,,0.39 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Apr,,,,,0.01 ,Fig2,Directly extracted
276,,,,0.50 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,Fungi,July,,,,,0.01 ,Fig2,Directly extracted
277,,,,0.48 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Nov,,,,,0.01 ,Fig2,Directly extracted
278,,,,0.43 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Jan,,,,,0.01 ,Fig2,Directly extracted
279,,,,0.39 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Apr,,,,,0.01 ,Fig2,Directly extracted
280,,,,0.45 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,Bacteria,July,,,,,0.01 ,Fig2,Directly extracted
281,,,,0.45 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Nov,,,,,0.01 ,Fig2,Directly extracted
282,,,,0.43 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Jan,,,,,0.01 ,Fig2,Directly extracted
283,,,,0.42 ,1,Evergreen Needleleaf Forest,40.03 ,-105.55 ,4.00 ,800.00 ,glutamate or glucose,,3.80 ,glucose,glucose,4 mg tracer-C per g soil,,,14.00 ,,,Apr,,,,,0.01 ,Fig2,Directly extracted
284,Anderson,Carbon assimilation and microbial activity in soil,Agricultural Research Centre at Braunschweig-Volkenrod ,0.37 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,54.5 ug glucose-C g-1 soil,,24 h,22.00 ,Substrate-based methods,,54.5 ug glucose-C g-1 soil,,5.4 (KCL),,,,Table2,Directly extracted
285,,,,0.49 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,90.8 ug glucose-C g-1 soil,,24 h,22.00 ,,,90.8 ug glucose-C g-1 soil,,,,,,Table2,Directly extracted
286,,,a beech forest near Gottingen,0.53 ,4,Deciduous Broadleaf Forest,51.53 ,9.94 ,8.46 ,54.33 ,glucose,,4.00 ,glucose,glucose,1089.9 ug glucose-C g-1 soil,,48 h,22.00 ,,,1089.9 ug glucose-C g-1 soil,,5.30 ,,,,Table2,Directly extracted
287,,,,0.49 ,4,Deciduous Broadleaf Forest,51.53 ,9.94 ,8.46 ,54.33 ,glucose,,4.00 ,glucose,glucose,2543.3 ug glucose-C g-1 soil,,48 h,22.00 ,,,2543.3 ug glucose-C g-1 soil,,,,,,Table2,Directly extracted
288,Schneckenberger,Microbial utilization and mineralization of [14C]glucose added in six orders of concentration to soil,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.73 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.0009 ug glucose-C g-1 soil,,2 d,18.00 ,Biomass-based methods,,0.0009 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
289,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.79 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.26 ug glucose-C g-1 soil,,2 d,18.00 ,Biomass-based methods,,0.26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
290,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.80 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,2.6 ug glucose-C g-1 soil,,2 d,18.00 ,Biomass-based methods,,2.6 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
291,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.75 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,26 ug glucose-C g-1 soil,,2 d,18.00 ,Biomass-based methods,,26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
292,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.54 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,260 ug glucose-C g-1 soil,,2 d,18.00 ,Biomass-based methods,,260 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
293,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.61 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.0009 ug glucose-C g-1 soil,,6 d,18.00 ,Biomass-based methods,,0.0009 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
294,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.62 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.26 ug glucose-C g-1 soil,,6 d,18.00 ,Biomass-based methods,,0.26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
295,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.66 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,2.6 ug glucose-C g-1 soil,,6 d,18.00 ,Biomass-based methods,,2.6 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
296,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.58 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,26 ug glucose-C g-1 soil,,6 d,18.00 ,Biomass-based methods,,26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
297,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.40 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,260 ug glucose-C g-1 soil,,6 d,18.00 ,Biomass-based methods,,260 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
298,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.55 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.0009 ug glucose-C g-1 soil,,12 d,18.00 ,Biomass-based methods,,0.0009 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
299,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.68 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.26 ug glucose-C g-1 soil,,12 d,18.00 ,Biomass-based methods,,0.26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
300,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.64 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,2.6 ug glucose-C g-1 soil,,12 d,18.00 ,Biomass-based methods,,2.6 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
301,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.53 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,26 ug glucose-C g-1 soil,,12 d,18.00 ,Biomass-based methods,,26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
302,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.37 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,260 ug glucose-C g-1 soil,,12 d,18.00 ,Biomass-based methods,,260 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
303,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.35 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.0009 ug glucose-C g-1 soil,,22 d,18.00 ,Biomass-based methods,,0.0009 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
304,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.42 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,0.26 ug glucose-C g-1 soil,,22 d,18.00 ,Biomass-based methods,,0.26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
305,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.36 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,2.6 ug glucose-C g-1 soil,,22 d,18.00 ,Biomass-based methods,,2.6 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
306,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.27 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,26 ug glucose-C g-1 soil,,22 d,18.00 ,Biomass-based methods,,26 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
307,,,"the University of Hohenheim, Stuttgart, Baden- Wurttemberg, Germany (48o43' N, 9o13' E)",0.18 ,10,Grasslands,48.72 ,9.22 ,8.70 ,679.00 ,glucose,,4.00 ,glucose,glucose,260 ug glucose-C g-1 soil,,22 d,18.00 ,Biomass-based methods,,260 ug glucose-C g-1 soil,,,,,,Fig4,Eq. 3
308,Laura L. Parsons and M. Scott Smith 1989,Microbial Utilization of Carbon-14-Glucose in Aerobic vs. Anaerobic Denitrifying Soils,,0.58 ,10,Grasslands,38.08 ,-84.55 ,12.58 ,1149.00 ,Glucose-C,,4.00 ,glucose,glucose,,,96h,,,,,,,,,,,
309,,,,0.50 ,10,Grasslands,38.08 ,-84.55 ,12.58 ,1149.00 ,Glucose-C,,4.00 ,glucose,glucose,,,96h,,,,,,,,,,,
310,,,,0.54 ,10,Grasslands,38.08 ,-84.55 ,12.58 ,1149.00 ,Glucose-C,,4.00 ,glucose,glucose,,,72h,,,,,,,,,,,
311,,,,0.44 ,10,Grasslands,38.08 ,-84.55 ,12.58 ,1149.00 ,Glucose-C,,4.00 ,glucose,glucose,,,72h,,,,,,,,,,,
312,,,,0.73 ,10,Grasslands,38.08 ,-84.55 ,12.58 ,1149.00 ,Glucose-C,,4.00 ,glucose,glucose,,,96h,,,,,,,,,,,
313,,,,0.61 ,10,Grasslands,38.08 ,-84.55 ,12.58 ,1149.00 ,Glucose-C,,4.00 ,glucose,glucose,,,96h,,,,,,,,,,,
314,"Olivier C. DeveÃvre, William R. HorwaÂ th,2000","Decomposition of rice straw and microbial carbon use eciency
under dierent soil temperatures and moistures","Maxwell,CA",0.61 ,12,Croplands,39.28 ,-122.19 ,15.85 ,438.00 ,rice straw,,,high-molecular compound,residue,,,,5.00 ,,,,,,39.10 ,,,,
